user_id,product_id,rating,timestamp,review_id
A1B2C3D4E5F6G,B01LYEEFVH,5,2023-01-15 08:30:00,
A1B2C3D4E5F6G,B07PGL8355,4,2023-01-16 09:45:00,
A1B2C3D4E5F6G,B07XKF5RM3,5,2023-01-17 10:15:00,
A1B2C3D4E5F6G,B08N5KWB9H,4,2023-01-18 11:30:00,
H7I8J9K0L1M2N,B08KTZCF4N,3,2023-02-01 14:20:00,
H7I8J9K0L1M2N,B07W6ZQYJR,4,2023-02-05 11:10:00,
H7I8J9K0L1M2N,B08H95Y452,5,2023-02-10 16:45:00,
H7I8J9K0L1M2N,B08J8FL9J2,4,2023-02-15 13:20:00,
O3P4Q5R6S7T8U,B08FC5L3RG,5,2023-03-10 16:30:00,
O3P4Q5R6S7T8U,B07VGRJDFY,4,2023-03-12 10:15:00,
O3P4Q5R6S7T8U,B08L5WD9D6,3,2023-03-15 14:50:00,
O3P4Q5R6S7T8U,B08BX7FV5L,5,2023-03-18 09:25:00,
V9W0X1Y2Z3A4B,B07R2W9D3X,2,2023-04-20 19:45:00,
V9W0X1Y2Z3A4B,B07K1J3C23,5,2023-04-22 13:25:00,
V9W0X1Y2Z3A4B,B07T81554H,4,2023-04-25 17:30:00,
V9W0X1Y2Z3A4B,B08N5LNQCX,3,2023-04-28 11:15:00,
C5D6E7F8G9H0I,B08PDN2R3C,4,2023-05-05 20:30:00,
C5D6E7F8G9H0I,B08T4Y6HJX,5,2023-05-08 18:15:00,
C5D6E7F8G9H0I,B08G1Y9XNK,3,2023-05-12 14:45:00,
C5D6E7F8G9H0I,B08CX5JL4D,4,2023-05-15 16:30:00,
D1E2F3G4H5I6J,B08JQQ1VD1,5,2023-06-01 09:00:00,
D1E2F3G4H5I6J,B08K3S6WJS,4,2023-06-05 15:30:00,
D1E2F3G4H5I6J,B08F7H7J9V,3,2023-06-10 11:45:00,
D1E2F3G4H5I6J,B08N5K5D5S,5,2023-06-15 17:20:00,
K1L2M3N4O5P6Q,B08HR5SXPS,4,2023-07-01 10:15:00,
K1L2M3N4O5P6Q,B08L8J1G3Q,3,2023-07-05 14:30:00,
K1L2M3N4O5P6Q,B08L3QCZZX,5,2023-07-10 19:45:00,
K1L2M3N4O5P6Q,B08K3Y2D5T,4,2023-07-15 13:20:00,
R1S2T3U4V5W6X,B08HRJV5FP,5,2023-08-01 08:45:00,
R1S2T3U4V5W6X,B08F2T4L2G,4,2023-08-05 12:30:00,
R1S2T3U4V5W6X,B08N5K5D5T,5,2023-08-10 16:15:00,
R1S2T3U4V5W6X,B08L8J1G3W,3,2023-08-15 14:50:00,
Y1Z2A3B4C5D6E,B08K3Y2D5U,4,2023-09-01 11:30:00,
Y1Z2A3B4C5D6E,B08HRJV5FQ,5,2023-09-05 15:45:00,
Y1Z2A3B4C5D6E,B08F2T4L2H,4,2023-09-10 10:20:00,
Y1Z2A3B4C5D6E,B08N5K5D5U,3,2023-09-15 17:35:00,
F1G2H3I4J5K6L,B08L8J1G3X,5,2023-10-01 09:15:00,
F1G2H3I4J5K6L,B08K3Y2D5V,4,2023-10-05 13:40:00,
F1G2H3I4J5K6L,B08HRJV5FR,5,2023-10-10 18:25:00,
F1G2H3I4J5K6L,B08F2T4L2I,4,2023-10-15 14:50:00,
